minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart,xg,goal
2,0,Daniel Maldini,F,60,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,15,24,21,46,assisted,right-foot,0.02267131395638,0
4,0,Jakub Jankto,M,67,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,28,33,28,14,corner,left-foot,0.014133146032691,0
7,0,Nahitan Nández,M,60,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,8,54,16,60,assisted,right-foot,0.041712500154972,0
12,0,Dany Mota,F,72,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,9,26,16,57,assisted,head,0.016511380672455,0
17,0,Samuele Birindelli,D,51,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,11,56,19,55,regular,right-foot,0.016190653666854,0
31,0,Gianluca Lapadula,F,72,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,28,47,28,14,free-kick,left-foot,0.06441742181778,0
35,0,Gianluca Lapadula,F,72,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,5,56,16,72,regular,left-foot,0.028013616800308,0
35,0,Alberto Dossena,D,33,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,12,42,12,9,corner,head,0.034262340515852,0
42,0,Daniel Maldini,F,60,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,33,39,33,1,free-kick,right-foot,0.038928285241127,1
45,1,Warren Bondo,M,54,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,30,40,30,0,assisted,right-foot,0.026451429352164,0
45,1,Dany Mota,F,72,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,7,34,9,40,assisted,other,0.042454481124878,0
50,1,Dany Mota,F,72,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,9,43,9,18,assisted,left-foot,0.14052084088326,0
51,1,Andrea Colpani,F,74,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,13,55,19,49,assisted,right-foot,0.043551500886679,0
63,-1,Alessandro Deiola,M,66,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,21,42,21,5,assisted,right-foot,0.037307418882847,0
64,-1,Mateusz Wieteska,D,37,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,11,46,12,28,corner,right-foot,0.051849957555532,0
67,1,Alessio Zerbin,F,67,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,22,20,29,42,assisted,right-foot,0.012259969487786,0
67,1,Matteo Pessina,M,69,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,11,39,11,5,regular,head,0.060457982122898,0
71,1,Andrea Colpani,F,74,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,12,36,12,18,assisted,left-foot,0.088243335485458,0
71,1,Andrea Carboni,D,36,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,15,46,16,21,corner,head,0.010733258910477,0
79,-1,Gianluca Lapadula,F,72,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,9,35,10,29,assisted,head,0.063050970435143,0
83,1,Lorenzo Colombo,F,74,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,15,25,21,45,fast-break,left-foot,0.37056401371956,0
86,1,Roberto Gagliardini,M,62,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,21,46,21,15,assisted,right-foot,0.10747257620096,0
90,-1,Matteo Prati,M,64,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,31,39,31,1,assisted,right-foot,0.026365974918008,0
90,1,Lorenzo Colombo,F,74,Monza,1670,Simone Scuffet,73,Cagliari,1571,True,5,56,16,72,assisted,left-foot,0.028673326596618,0
90,-1,Nahitan Nández,M,60,Cagliari,1571,Michele Di Gregorio,79,Monza,1670,False,11,40,11,0,regular,head,0.062420625239611,0
9,0,Loum Tchaouna,F,68,Salernitana,1546,Wladimiro Falcone,76,Lecce,1587,True,14,51,17,38,regular,left-foot,0.068498596549034,0
