,game,round,week,date,home_team,away_team,home_score,away_score,game_id
239,2025-03-30 RC Strasbourg-Olympique Lyonnais,27,27,2025-03-30 15:00:00+00:00,RC Strasbourg,Olympique Lyonnais,,,12450268
240,2025-03-30 Saint-Étienne-Paris Saint-Germain,27,27,2025-03-30 15:00:00+00:00,Saint-Étienne,Paris Saint-Germain,,,12450895
241,2025-03-30 Stade de Reims-Olympique de Marseille,27,27,2025-03-30 15:00:00+00:00,Stade de Reims,Olympique de Marseille,,,12450897
242,2025-03-30 Toulouse-Stade Brestois,27,27,2025-03-30 15:00:00+00:00,Toulouse,Stade Brestois,,,12450894
243,2025-04-06 Montpellier-Le Havre,28,28,2025-04-06 15:00:00+00:00,Montpellier,Le Havre,,,12450195
244,2025-04-06 Nice-Nantes,28,28,2025-04-06 15:00:00+00:00,Nice,Nantes,,,12450188
245,2025-04-06 Olympique Lyonnais-Lille,28,28,2025-04-06 15:00:00+00:00,Olympique Lyonnais,Lille,,,12450194
246,2025-04-06 Olympique de Marseille-Toulouse,28,28,2025-04-06 15:00:00+00:00,Olympique de Marseille,Toulouse,,,12450900
247,2025-04-06 Paris Saint-Germain-Angers,28,28,2025-04-06 15:00:00+00:00,Paris Saint-Germain,Angers,,,12450198
248,2025-04-06 RC Lens-Saint-Étienne,28,28,2025-04-06 15:00:00+00:00,RC Lens,Saint-Étienne,,,12450193
249,2025-04-06 Stade Brestois-AS Monaco,28,28,2025-04-06 15:00:00+00:00,Stade Brestois,AS Monaco,,,12450179
250,2025-04-06 Stade Rennais-Auxerre,28,28,2025-04-06 15:00:00+00:00,Stade Rennais,Auxerre,,,12450197
251,2025-04-06 Stade de Reims-RC Strasbourg,28,28,2025-04-06 15:00:00+00:00,Stade de Reims,RC Strasbourg,,,12450200
252,2025-04-13 AS Monaco-Olympique de Marseille,29,29,2025-04-13 15:00:00+00:00,AS Monaco,Olympique de Marseille,,,12450205
253,2025-04-13 Angers-Montpellier,29,29,2025-04-13 15:00:00+00:00,Angers,Montpellier,,,12450209
254,2025-04-13 Auxerre-Olympique Lyonnais,29,29,2025-04-13 15:00:00+00:00,Auxerre,Olympique Lyonnais,,,12450203
255,2025-04-13 Le Havre-Stade Rennais,29,29,2025-04-13 15:00:00+00:00,Le Havre,Stade Rennais,,,12450201
256,2025-04-13 Nantes-Paris Saint-Germain,29,29,2025-04-13 15:00:00+00:00,Nantes,Paris Saint-Germain,,,12450207
257,2025-04-13 RC Lens-Stade de Reims,29,29,2025-04-13 15:00:00+00:00,RC Lens,Stade de Reims,,,12450210
258,2025-04-13 RC Strasbourg-Nice,29,29,2025-04-13 15:00:00+00:00,RC Strasbourg,Nice,,,12450204
259,2025-04-13 Saint-Étienne-Stade Brestois,29,29,2025-04-13 15:00:00+00:00,Saint-Étienne,Stade Brestois,,,12450206
260,2025-04-13 Toulouse-Lille,29,29,2025-04-13 15:00:00+00:00,Toulouse,Lille,,,12450202
261,2025-04-20 AS Monaco-RC Strasbourg,30,30,2025-04-20 15:00:00+00:00,AS Monaco,RC Strasbourg,,,12450217
262,2025-04-20 Lille-Auxerre,30,30,2025-04-20 15:00:00+00:00,Lille,Auxerre,,,12450216
263,2025-04-20 Nice-Angers,30,30,2025-04-20 15:00:00+00:00,Nice,Angers,,,12450208
264,2025-04-20 Olympique de Marseille-Montpellier,30,30,2025-04-20 15:00:00+00:00,Olympique de Marseille,Montpellier,,,12450212
265,2025-04-20 Paris Saint-Germain-Le Havre,30,30,2025-04-20 15:00:00+00:00,Paris Saint-Germain,Le Havre,,,12450211
266,2025-04-20 Saint-Étienne-Olympique Lyonnais,30,30,2025-04-20 15:00:00+00:00,Saint-Étienne,Olympique Lyonnais,,,12450213
267,2025-04-20 Stade Brestois-RC Lens,30,30,2025-04-20 15:00:00+00:00,Stade Brestois,RC Lens,,,12450214
268,2025-04-20 Stade Rennais-Nantes,30,30,2025-04-20 15:00:00+00:00,Stade Rennais,Nantes,,,12450218
269,2025-04-20 Stade de Reims-Toulouse,30,30,2025-04-20 15:00:00+00:00,Stade de Reims,Toulouse,,,12450215
270,2025-04-27 Angers-Lille,31,31,2025-04-27 15:00:00+00:00,Angers,Lille,,,12450224
271,2025-04-27 Le Havre-AS Monaco,31,31,2025-04-27 15:00:00+00:00,Le Havre,AS Monaco,,,12450219
272,2025-04-27 Montpellier-Stade de Reims,31,31,2025-04-27 15:00:00+00:00,Montpellier,Stade de Reims,,,12450220
273,2025-04-27 Nantes-Toulouse,31,31,2025-04-27 15:00:00+00:00,Nantes,Toulouse,,,12450223
274,2025-04-27 Olympique Lyonnais-Stade Rennais,31,31,2025-04-27 15:00:00+00:00,Olympique Lyonnais,Stade Rennais,,,12450227
275,2025-04-27 Olympique de Marseille-Stade Brestois,31,31,2025-04-27 15:00:00+00:00,Olympique de Marseille,Stade Brestois,,,12450225
276,2025-04-27 Paris Saint-Germain-Nice,31,31,2025-04-27 15:00:00+00:00,Paris Saint-Germain,Nice,,,12450226
277,2025-04-27 RC Lens-Auxerre,31,31,2025-04-27 15:00:00+00:00,RC Lens,Auxerre,,,12450222
278,2025-04-27 RC Strasbourg-Saint-Étienne,31,31,2025-04-27 15:00:00+00:00,RC Strasbourg,Saint-Étienne,,,12450221
279,2025-05-04 Auxerre-Le Havre,32,32,2025-05-04 15:00:00+00:00,Auxerre,Le Havre,,,12450274
280,2025-05-04 Lille-Olympique de Marseille,32,32,2025-05-04 15:00:00+00:00,Lille,Olympique de Marseille,,,12450228
281,2025-05-04 Nantes-Angers,32,32,2025-05-04 15:00:00+00:00,Nantes,Angers,,,12450271
282,2025-05-04 Nice-Stade de Reims,32,32,2025-05-04 15:00:00+00:00,Nice,Stade de Reims,,,12450232
283,2025-05-04 Olympique Lyonnais-RC Lens,32,32,2025-05-04 15:00:00+00:00,Olympique Lyonnais,RC Lens,,,12450230
284,2025-05-04 RC Strasbourg-Paris Saint-Germain,32,32,2025-05-04 15:00:00+00:00,RC Strasbourg,Paris Saint-Germain,,,12450270
285,2025-05-04 Saint-Étienne-AS Monaco,32,32,2025-05-04 15:00:00+00:00,Saint-Étienne,AS Monaco,,,12450231
286,2025-05-04 Stade Brestois-Montpellier,32,32,2025-05-04 15:00:00+00:00,Stade Brestois,Montpellier,,,12450229
287,2025-05-04 Toulouse-Stade Rennais,32,32,2025-05-04 15:00:00+00:00,Toulouse,Stade Rennais,,,12450196
288,2025-05-11 AS Monaco-Olympique Lyonnais,33,33,2025-05-11 15:00:00+00:00,AS Monaco,Olympique Lyonnais,,,12450182
